version;id;name;faulty;ef;ep;nf;np;tarantula;ochiai;tarantula_rank;ochiai_rank
23;960;org.joda.time.DateTime.withMillis(long);False;0;194;1;3634;0.0;0.0;1729.5;1729.5
23;1062;org.joda.time.base.AbstractDateTime.getMinuteOfDay();False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;1166;org.joda.time.base.AbstractDateTime.get(org.joda.time.DateTimeFieldType);False;0;36;1;3792;0.0;0.0;1729.5;1729.5
23;918;org.joda.time.base.BaseDateTime(int,int,int,int,int,int,int,org.joda.time.DateTimeZone);False;0;275;1;3553;0.0;0.0;1729.5;1729.5
23;3186;org.joda.time.field.BaseDurationField.getValue(long);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1923;org.joda.time.LocalDateTime.getCenturyOfEra();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;2035;org.joda.time.format.DateTimeFormatterBuilder.appendUnknownString(java.lang.StringBuffer,int);False;0;14;1;3814;0.0;0.0;1729.5;1729.5
23;156;org.joda.time.chrono.BaseChronology.eras();False;0;91;1;3737;0.0;0.0;1729.5;1729.5
23;2866;org.joda.time.MonthDay$Property.getMonthDay();False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;384;org.joda.time.field.SkipUndoDateTimeField.set(long,int);False;0;81;1;3747;0.0;0.0;1729.5;1729.5
23;3025;org.joda.time.MutableDateTime$Property.writeObject(java.io.ObjectOutputStream);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;970;org.joda.time.base.BasePeriod.getFieldType(int);False;0;333;1;3495;0.0;0.0;1729.5;1729.5
23;996;org.joda.time.DateTimeZone$Stub.writeObject(java.io.ObjectOutputStream);False;0;27;1;3801;0.0;0.0;1729.5;1729.5
23;2427;org.joda.time.MutablePeriod.setPeriod(org.joda.time.ReadableInterval);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1550;org.joda.time.convert.LongConverter.getDurationMillis(java.lang.Object);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1749;org.joda.time.Interval.withStartMillis(long);False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;721;org.joda.time.convert.CalendarConverter();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;724;org.joda.time.convert.LongConverter.<clinit>();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1532;org.joda.time.DateMidnight$Property.addToCopy(long);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;1362;org.joda.time.MutableDateTime.setRounding(org.joda.time.DateTimeField,int);False;0;9;1;3819;0.0;0.0;1729.5;1729.5
23;116;org.joda.time.chrono.GJYearOfEraDateTimeField.getMaximumValue();False;0;25;1;3803;0.0;0.0;1729.5;1729.5
23;1094;org.joda.time.chrono.BasicChronology.getDaysInMonthMax();False;0;179;1;3649;0.0;0.0;1729.5;1729.5
23;1939;org.joda.time.LocalDateTime.weekyear();False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;470;org.joda.time.format.DateTimeFormatterBuilder.toFormatter();False;0;250;1;3578;0.0;0.0;1729.5;1729.5
23;881;org.joda.time.base.AbstractInstant.toDateTime(org.joda.time.DateTimeZone);False;0;3;1;3825;0.0;0.0;1729.5;1729.5
23;1436;org.joda.time.MutableDateTime.monthOfYear();False;0;6;1;3822;0.0;0.0;1729.5;1729.5
23;2256;org.joda.time.PeriodType.millis();False;0;42;1;3786;0.0;0.0;1729.5;1729.5
23;1317;org.joda.time.chrono.GJLocaleSymbols.dayOfWeekValueToText(int);False;0;9;1;3819;0.0;0.0;1729.5;1729.5
23;2244;org.joda.time.Period(int,int,int,int);False;0;2;1;3826;0.0;0.0;1729.5;1729.5
23;1206;org.joda.time.chrono.ZonedChronology$ZonedDateTimeField.getMaximumTextLength(java.util.Locale);False;0;47;1;3781;0.0;0.0;1729.5;1729.5
23;2786;org.joda.time.YearMonth$Property.getReadablePartial();False;0;9;1;3819;0.0;0.0;1729.5;1729.5
23;1950;org.joda.time.base.AbstractPartial.toDateTime(org.joda.time.ReadableInstant);False;0;16;1;3812;0.0;0.0;1729.5;1729.5
23;1976;org.joda.time.LocalDateTime.withHourOfDay(int);False;0;1;1;3827;0.0;0.0;1729.5;1729.5
23;3096;org.joda.time.chrono.IslamicChronology.getYear(long);False;0;5;1;3823;0.0;0.0;1729.5;1729.5
23;2743;org.joda.time.field.DelegatedDateTimeField.getMinimumValue(org.joda.time.ReadablePartial,int[]);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;167;org.joda.time.chrono.AssembledChronology.hours();False;0;458;1;3370;0.0;0.0;1729.5;1729.5
23;1544;org.joda.time.base.BaseDuration(long,long);False;0;4;1;3824;0.0;0.0;1729.5;1729.5
23;969;org.joda.time.base.BasePeriod.getValue(int);False;0;497;1;3331;0.0;0.0;1729.5;1729.5
